number,name,status
3137 – Immutable Bytes and Mutable Buffer,Immutable Bytes and Mutable Buffer,Final
3135 – New Super,New Super,Final
3134 – Exception Chaining and Embedded Tracebacks,Exception Chaining and Embedded Tracebacks,Final
3132 – Extended Iterable Unpacking,Extended Iterable Unpacking,Final
3136 – Labeled break and continue,Labeled break and continue,Rejected
3133 – Introducing Roles,Introducing Roles,Rejected
3129 – Class Decorators,Class Decorators,Final
3128 – BList: A Faster List,BList: A Faster List-like Type,Rejected
3131 – Supporting Non,Supporting Non-ASCII Identifiers,Final
3127 – Integer Literal Support and Syntax,Integer Literal Support and Syntax,Final
3153 – Asynchronous IO support,Asynchronous IO support,Superseded
3130 – Access to Current Module/Class/Function,Access to Current Module/Class/Function,Rejected
3126 – Remove Implicit String Concatenation,Remove Implicit String Concatenation,Rejected
3125 – Remove Backslash Continuation,Remove Backslash Continuation,Rejected
"3124 – Overloading, Generic Functions, Interfaces, and Adaptation","Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3123 – Making PyObject_HEAD conform to standard C,Making PyObject_HEAD conform to standard C,Final
3120 – Using UTF,Using UTF-8 as the default source encoding,Final
3122 – Delineation of the main module,Delineation of the main module,Rejected
3121 – Extension Module Initialization and Finalization,Extension Module Initialization and Finalization,Accepted
3119 – Introducing Abstract Base Classes,Introducing Abstract Base Classes,Final
3115 – Metaclasses in Python 3000,Metaclasses in Python 3000,Final
3118 – Revising the buffer protocol,Revising the buffer protocol,Final
3116 – New I/O,New I/O,Final
3113 – Removal of Tuple Parameter Unpacking,Removal of Tuple Parameter Unpacking,Final
3114 – Renaming iterator.next() to iterator.__next__(),Renaming iterator.next() to iterator.__next__(),Final
3112 – Bytes literals in Python 3000,Bytes literals in Python 3000,Final
3111 – Simple input built,Simple input built-in in Python 3000,Final
3117 – Postfix type declarations,Postfix type declarations,Rejected
3110 – Catching Exceptions in Python 3000,Catching Exceptions in Python 3000,Final
3109 – Raising Exceptions in Python 3000,Raising Exceptions in Python 3000,Final
3107 – Function Annotations,Function Annotations,Final
3108 – Standard Library Reorganization,Standard Library Reorganization,Final
3104 – Access to Names in Outer Scopes,Access to Names in Outer Scopes,Final
"3106 – Revamping dict.keys(), .values() and .items()","Revamping dict.keys(), .values() and .items()",Final
3105 – Make print a function,Make print a function,Final
3101 – Advanced String Formatting,Advanced String Formatting,Final
3102 – Keyword,Keyword-Only Arguments,Final
3103 – A Switch/Case Statement,A Switch/Case Statement,Rejected
3099 – Things that will Not Change in Python 3000,Things that will Not Change in Python 3000,Final
3100 – Miscellaneous Python 3.0 Plans,Miscellaneous Python 3.0 Plans,Final
3000 – Python 3000,Python 3000,Final
3001 – Procedure for reviewing and improving standard library modules,Procedure for reviewing and improving standard library modules,Withdrawn
801 – Reserved,Reserved,Active
3003 – Python Language Moratorium,Python Language Moratorium,Final
3002 – Procedure for Backwards,Procedure for Backwards-Incompatible Changes,Final
754 – IEEE 754 Floating Point Special Values,IEEE 754 Floating Point Special Values,Rejected
698 – Override Decorator for Static Typing,Override Decorator for Static Typing,Draft
696 – Type defaults for TypeVarLikes,Type defaults for TypeVarLikes,Draft
699 – Remove private dict version field added in  509,Remove private dict version field added in PEP 509,Draft
700 – Additional Fields for the Simple API for Package Indexes,Additional Fields for the Simple API for Package Indexes,Draft
697 – Limited C API for Extending Opaque Types,Limited C API for Extending Opaque Types,Draft
695 – Type Parameter Syntax,Type Parameter Syntax,Draft
694 – Upload 2.0 API for Python Package Repositories,Upload 2.0 API for Python Package Repositories,Draft
693 – Python 3.12 Release Schedule,Python 3.12 Release Schedule,Active
692 – Using TypedDict for more precise **kwargs typing,Using TypedDict for more precise **kwargs typing,Draft
689 – Unstable C API tier,Unstable C API tier,Draft
691 – JSON,JSON-based Simple API for Python Package Indexes,Accepted
688 – Making the buffer protocol accessible in Python,Making the buffer protocol accessible in Python,Draft
687 – Isolating modules in the standard library,Isolating modules in the standard library,Accepted
690 – Lazy Imports,Lazy Imports,Draft
685 – Comparison of extra names for optional distribution dependencies,Comparison of extra names for optional distribution dependencies,Accepted
686 – Make UTF,Make UTF-8 mode default,Accepted
682 – Format Specifier for Signed Zero,Format Specifier for Signed Zero,Final
681 – Data Class Transforms,Data Class Transforms,Accepted
684 – A Per,A Per-Interpreter GIL,Draft
"683 – Immortal Objects, Using a Fixed Refcount","Immortal Objects, Using a Fixed Refcount",Accepted
680 – tomllib: Support for Parsing TOML in the Standard Library,tomllib: Support for Parsing TOML in the Standard Library,Accepted
677 – Callable Type Syntax,Callable Type Syntax,Rejected
679 – Allow parentheses in assert statements,Allow parentheses in assert statements,Draft
678 – Enriching Exceptions with Notes,Enriching Exceptions with Notes,Accepted
676 –  Infrastructure Process,PEP Infrastructure Process,Active
675 – Arbitrary Literal String Type,Arbitrary Literal String Type,Accepted
673 – Self Type,Self Type,Accepted
674 – Disallow using macros as l,Disallow using macros as l-values,Draft
672 – Unicode,Unicode-related Security Considerations for Python,Active
670 – Convert macros to functions in the Python C API,Convert macros to functions in the Python C API,Final
671 – Syntax for late,Syntax for late-bound function argument defaults,Draft
668 – Marking Python base environments as “externally managed”,Marking Python base environments as “externally managed”,Accepted
669 – Low Impact Monitoring for CPython,Low Impact Monitoring for CPython,Draft
667 – Consistent views of namespaces,Consistent views of namespaces,Draft
665 – A file format to list Python dependencies for reproducibility of an application,A file format to list Python dependencies for reproducibility of an application,Rejected
664 – Python 3.11 Release Schedule,Python 3.11 Release Schedule,Active
666 – Reject Foolish Indentation,Reject Foolish Indentation,Rejected
662 – Editable installs via virtual wheels,Editable installs via virtual wheels,Rejected
"663 – Standardizing Enum str(), repr(), and format() behaviors","Standardizing Enum str(), repr(), and format() behaviors",Rejected
661 – Sentinel Values,Sentinel Values,Draft
660 – Editable installs for pyproject.toml based builds (wheel based),Editable installs for pyproject.toml based builds (wheel based),Final
658 – Serve Distribution Metadata in the Simple Repository API,Serve Distribution Metadata in the Simple Repository API,Accepted
659 – Specializing Adaptive Interpreter,Specializing Adaptive Interpreter,Draft
655 – Marking individual TypedDict items as required or potentially,Marking individual TypedDict items as required or potentially-missing,Accepted
657 – Include Fine Grained Error Locations in Tracebacks,Include Fine Grained Error Locations in Tracebacks,Final
656 – Platform Tag for Linux Distributions Using Musl,Platform Tag for Linux Distributions Using Musl,Final
652 – Maintaining the Stable ABI,Maintaining the Stable ABI,Final
654 – Exception Groups and except*,Exception Groups and except*,Accepted
653 – Precise Semantics for Pattern Matching,Precise Semantics for Pattern Matching,Draft
649 – Deferred Evaluation Of Annotations Using Descriptors,Deferred Evaluation Of Annotations Using Descriptors,Draft
650 – Specifying Installer Requirements for Python Projects,Specifying Installer Requirements for Python Projects,Withdrawn
651 – Robust Stack Overflow Handling,Robust Stack Overflow Handling,Rejected
647 – User,User-Defined Type Guards,Accepted
648 – Extensible customizations of the interpreter at startup,Extensible customizations of the interpreter at startup,Rejected
645 – Allow writing optional types as,Allow writing optional types as,Withdrawn
644 – Require OpenSSL 1.1.1 or newer,Require OpenSSL 1.1.1 or newer,Final
643 – Metadata for Package Source Distributions,Metadata for Package Source Distributions,Final
646 – Variadic Generics,Variadic Generics,Accepted
640 – Unused variable syntax,Unused variable syntax,Rejected
642 – Explicit Pattern Syntax for Structural Pattern Matching,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
641 – Using an underscore in the version portion of Python 3.10 compatibility tags,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
639 – Improving License Clarity with Better Package Metadata,Improving License Clarity with Better Package Metadata,Draft
637 – Support for indexing with keyword arguments,Support for indexing with keyword arguments,Rejected
638 – Syntactic Macros,Syntactic Macros,Draft
634 – Structural Pattern Matching: Specification,Structural Pattern Matching: Specification,Accepted
636 – Structural Pattern Matching: Tutorial,Structural Pattern Matching: Tutorial,Final
632 – Deprecate distutils module,Deprecate distutils module,Accepted
633 – Dependency specification in pyproject.toml using an exploded TOML table,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
635 – Structural Pattern Matching: Motivation and Rationale,Structural Pattern Matching: Motivation and Rationale,Final
631 – Dependency specification in pyproject.toml based on  508,Dependency specification in pyproject.toml based on PEP 508,Superseded
629 – Versioning PyPI’s Simple API,Versioning PyPI’s Simple API,Final
628 – Add,Add,Final
630 – Isolating Extension Modules,Isolating Extension Modules,Final
627 – Recording installed projects,Recording installed projects,Final
623 – Remove wstr from Unicode,Remove wstr from Unicode,Final
626 – Precise line numbers for debugging and other tools.,Precise line numbers for debugging and other tools.,Final
624 – Remove Py_UNICODE encoder APIs,Remove Py_UNICODE encoder APIs,Final
625 – Filename of a Source Distribution,Filename of a Source Distribution,Accepted
619 – Python 3.10 Release Schedule,Python 3.10 Release Schedule,Active
621 – Storing project metadata in pyproject.toml,Storing project metadata in pyproject.toml,Final
620 – Hide implementation details from the C API,Hide implementation details from the C API,Draft
622 – Structural Pattern Matching,Structural Pattern Matching,Superseded
618 – Add Optional Length,Add Optional Length-Checking To zip,Final
616 – String methods to remove prefixes and suffixes,String methods to remove prefixes and suffixes,Final
615 – Support for the IANA Time Zone Database in the Standard Library,Support for the IANA Time Zone Database in the Standard Library,Accepted
614 – Relaxing Grammar Restrictions On Decorators,Relaxing Grammar Restrictions On Decorators,Final
613 – Explicit Type Aliases,Explicit Type Aliases,Accepted
617 – New PEG parser for CPython,New PEG parser for CPython,Accepted
611 – The one million limit,The one million limit,Withdrawn
612 – Parameter Specification Variables,Parameter Specification Variables,Accepted
610 – Recording the Direct URL Origin of installed distributions,Recording the Direct URL Origin of installed distributions,Final
607 – Reducing CPython’s Feature Delivery Latency,Reducing CPython’s Feature Delivery Latency,Final
609 – Python Packaging Authority (PyPA) Governance,Python Packaging Authority (PyPA) Governance,Active
608 – Coordinated Python release,Coordinated Python release,Rejected
605 – A rolling feature release stream for CPython,A rolling feature release stream for CPython,Rejected
606 – Python Compatibility Version,Python Compatibility Version,Rejected
604 – Allow writing union types as,Allow writing union types as,Accepted
603 – Adding a frozenmap type to collections,Adding a frozenmap type to collections,Draft
596 – Python 3.9 Release Schedule,Python 3.9 Release Schedule,Active
601 – Forbid return/break/continue breaking out of finally,Forbid return/break/continue breaking out of finally,Rejected
602 – Annual Release Cycle for Python,Annual Release Cycle for Python,Accepted
599 – The manylinux2014 Platform Tag,The manylinux2014 Platform Tag,Superseded
597 – Add optional EncodingWarning,Add optional EncodingWarning,Final
600 – Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
598 – Introducing incremental feature releases,Introducing incremental feature releases,Withdrawn
595 – Improving bugs.python.org,Improving bugs.python.org,Withdrawn
592 – Adding “Yank” Support to the Simple API,Adding “Yank” Support to the Simple API,Final
591 – Adding a final qualifier to typing,Adding a final qualifier to typing,Accepted
594 – Removing dead batteries from the standard library,Removing dead batteries from the standard library,Accepted
593 – Flexible function and variable annotations,Flexible function and variable annotations,Accepted
590 – Vectorcall: a fast calling protocol for CPython,Vectorcall: a fast calling protocol for CPython,Accepted
588 – GitHub Issues Migration Plan,GitHub Issues Migration Plan,Draft
587 – Python Initialization Configuration,Python Initialization Configuration,Final
589 – TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Accepted
585 – Type Hinting Generics In Standard Collections,Type Hinting Generics In Standard Collections,Final
584 – Add Union Operators To dict,Add Union Operators To dict,Final
586 – Literal Types,Literal Types,Accepted
582 – Python local packages directory,Python local packages directory,Draft
583 – A Concurrency Memory Model for Python,A Concurrency Memory Model for Python,Withdrawn
581 – Using GitHub Issues for CPython,Using GitHub Issues for CPython,Accepted
580 – The C call protocol,The C call protocol,Rejected
579 – Refactoring C functions and methods,Refactoring C functions and methods,Final
577 – Augmented Assignment Expressions,Augmented Assignment Expressions,Withdrawn
576 – Rationalize Built,Rationalize Built-in function classes,Withdrawn
569 – Python 3.8 Release Schedule,Python 3.8 Release Schedule,Active
578 – Python Runtime Audit Hooks,Python Runtime Audit Hooks,Accepted
575 – Unifying function/method classes,Unifying function/method classes,Withdrawn
574 – Pickle protocol 5 with out,Pickle protocol 5 with out-of-band data,Final
571 – The manylinux2010 Platform Tag,The manylinux2010 Platform Tag,Superseded
573 – Module State Access from C Extension Methods,Module State Access from C Extension Methods,Final
572 – Assignment Expressions,Assignment Expressions,Final
570 – Python Positional,Python Positional-Only Parameters,Final
567 – Context Variables,Context Variables,Final
568 – Generator,Generator-sensitivity for Context Variables,Deferred
566 – Metadata for Python Software Packages 2.1,Metadata for Python Software Packages 2.1,Final
565 – Show DeprecationWarning in __main__,Show DeprecationWarning in __main__,Final
561 – Distributing and Packaging Type Information,Distributing and Packaging Type Information,Final
564 – Add new time functions with nanosecond resolution,Add new time functions with nanosecond resolution,Final
563 – Postponed Evaluation of Annotations,Postponed Evaluation of Annotations,Accepted
562 – Module __getattr__ and __dir__,Module __getattr__ and __dir__,Final
559 – Built,Built-in noop(),Rejected
560 – Core support for typing module and generic types,Core support for typing module and generic types,Accepted
557 – Data Classes,Data Classes,Final
556 – Threaded garbage collection,Threaded garbage collection,Deferred
555 – Context,Context-local variables (contextvars),Withdrawn
554 – Multiple Interpreters in the Stdlib,Multiple Interpreters in the Stdlib,Draft
558 – Defined semantics for locals(),Defined semantics for locals(),Draft
553 – Built,Built-in breakpoint(),Final
551 – Security transparency in the Python runtime,Security transparency in the Python runtime,Withdrawn
552 – Deterministic pycs,Deterministic pycs,Final
549 – Instance Descriptors,Instance Descriptors,Rejected
548 – More Flexible Loop Control,More Flexible Loop Control,Rejected
550 – Execution Context,Execution Context,Withdrawn
547 – Running extension modules using the,Running extension modules using the -m option,Deferred
546 – Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
545 – Python Documentation Translations,Python Documentation Translations,Final
544 – Protocols: Structural subtyping (static duck typing),Protocols: Structural subtyping (static duck typing),Accepted
542 – Dot Notation Assignment In Function Header,Dot Notation Assignment In Function Header,Rejected
541 – Package Index Name Retention,Package Index Name Retention,Final
543 – A Unified TLS API for Python,A Unified TLS API for Python,Withdrawn
539 – A New C,A New C-API for Thread-Local Storage in CPython,Final
537 – Python 3.7 Release Schedule,Python 3.7 Release Schedule,Active
540 – Add a new UTF,Add a new UTF-8 Mode,Final
536 – Final Grammar for Literal String Interpolation,Final Grammar for Literal String Interpolation,Deferred
535 – Rich comparison chaining,Rich comparison chaining,Deferred
534 – Improved Errors for Missing Standard Library Modules,Improved Errors for Missing Standard Library Modules,Deferred
538 – Coercing the legacy C locale to a UTF,Coercing the legacy C locale to a UTF-8 based locale,Final
533 – Deterministic cleanup for iterators,Deterministic cleanup for iterators,Deferred
532 – A circuit breaking protocol and binary operators,A circuit breaking protocol and binary operators,Deferred
531 – Existence checking operators,Existence checking operators,Withdrawn
530 – Asynchronous Comprehensions,Asynchronous Comprehensions,Final
528 – Change Windows console encoding to UTF,Change Windows console encoding to UTF-8,Final
529 – Change Windows filesystem encoding to UTF,Change Windows filesystem encoding to UTF-8,Final
524 – Make os.urandom() blocking on Linux,Make os.urandom() blocking on Linux,Final
527 – Removing Un(der)used file types/extensions on PyPI,Removing Un(der)used file types/extensions on PyPI,Final
526 – Syntax for Variable Annotations,Syntax for Variable Annotations,Final
522 – Allow BlockingIOError in security sensitive APIs,Allow BlockingIOError in security sensitive APIs,Rejected
523 – Adding a frame evaluation API to CPython,Adding a frame evaluation API to CPython,Final
525 – Asynchronous Generators,Asynchronous Generators,Final
520 – Preserving Class Attribute Definition Order,Preserving Class Attribute Definition Order,Final
519 – Adding a file system path protocol,Adding a file system path protocol,Final
521 – Managing global context via ‘with’ blocks in generators and coroutines,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
518 – Specifying Minimum Build System Requirements for Python Projects,Specifying Minimum Build System Requirements for Python Projects,Final
516 – Build system abstraction for pip/conda etc,Build system abstraction for pip/conda etc,Rejected
517 – A build,A build-system independent format for source trees,Final
514 – Python registration in the Windows registry,Python registration in the Windows registry,Active
512 – Migrating from hg.python.org to GitHub,Migrating from hg.python.org to GitHub,Final
515 – Underscores in Numeric Literals,Underscores in Numeric Literals,Final
513 – A Platform Tag for Portable Linux Built Distributions,A Platform Tag for Portable Linux Built Distributions,Superseded
508 – Dependency specification for Python Software Packages,Dependency specification for Python Software Packages,Final
509 – Add a private version to dict,Add a private version to dict,Final
507 – Migrate CPython to Git and GitLab,Migrate CPython to Git and GitLab,Rejected
511 – API for code transformers,API for code transformers,Rejected
506 – Adding A Secrets Module To The Standard Library,Adding A Secrets Module To The Standard Library,Final
510 – Specialize functions with guards,Specialize functions with guards,Rejected
505 – None,None-aware operators,Deferred
503 – Simple Repository API,Simple Repository API,Final
502 – String Interpolation,String Interpolation - Extended Discussion,Rejected
504 – Using the System RNG by default,Using the System RNG by default,Withdrawn
498 – Literal String Interpolation,Literal String Interpolation,Final
501 – General purpose string interpolation,General purpose string interpolation,Deferred
500 – A protocol for delegating datetime methods to their tzinfo implementations,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
497 – A standard mechanism for backward compatibility,A standard mechanism for backward compatibility,Rejected
496 – Environment Markers,Environment Markers,Rejected
499 –,,Deferred
495 – Local Time Disambiguation,Local Time Disambiguation,Final
493 – HTTPS verification migration tools for Python 2.7,HTTPS verification migration tools for Python 2.7,Final
492 – Coroutines with async and await syntax,Coroutines with async and await syntax,Final
494 – Python 3.6 Release Schedule,Python 3.6 Release Schedule,Final
490 – Chain exceptions at C level,Chain exceptions at C level,Rejected
491 – The Wheel Binary Package Format 1.9,The Wheel Binary Package Format 1.9,Deferred
489 – Multi,Multi-phase extension module initialization,Final
487 – Simpler customisation of class creation,Simpler customisation of class creation,Final
486 – Make the Python Launcher aware of virtual environments,Make the Python Launcher aware of virtual environments,Final
488 – Elimination of PYO files,Elimination of PYO files,Final
482 – Literature Overview for Type Hints,Literature Overview for Type Hints,Final
485 – A Function for testing approximate equality,A Function for testing approximate equality,Final
483 – The Theory of Type Hints,The Theory of Type Hints,Final
"481 – Migrate CPython to Git, Github, and Phabricator","Migrate CPython to Git, Github, and Phabricator",Withdrawn
484 – Type Hints,Type Hints,Final
478 – Python 3.5 Release Schedule,Python 3.5 Release Schedule,Final
479 – Change StopIteration handling inside generators,Change StopIteration handling inside generators,Final
477 – Backport ensurepip ( 453) to Python 2.7,Backport ensurepip (PEP 453) to Python 2.7,Final
480 – Surviving a Compromise of PyPI: End,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
476 – Enabling certificate verification by default for stdlib http clients,Enabling certificate verification by default for stdlib http clients,Final
474 – Creating forge.python.org,Creating forge.python.org,Withdrawn
475 – Retry system calls failing with EINTR,Retry system calls failing with EINTR,Final
473 – Adding structured data to built,Adding structured data to built-in exceptions,Rejected
471 – os.scandir() function – a better and faster directory iterator,os.scandir() function,Final
472 – Support for indexing with keyword arguments,Support for indexing with keyword arguments,Rejected
469 – Migration of dict iteration code to Python 3,Migration of dict iteration code to Python 3,Withdrawn
468 – Preserving the order of **kwargs in a function.,Preserving the order of **kwargs in a function.,Final
470 – Removing External Hosting Support on PyPI,Removing External Hosting Support on PyPI,Final
466 – Network Security Enhancements for Python 2.7.x,Network Security Enhancements for Python 2.7.x,Final
464 – Removal of the PyPI Mirror Authenticity API,Removal of the PyPI Mirror Authenticity API,Final
461 – Adding % formatting to bytes and bytearray,Adding % formatting to bytes and bytearray,Final
462 – Core development workflow automation for CPython,Core development workflow automation for CPython,Withdrawn
465 – A dedicated infix operator for matrix multiplication,A dedicated infix operator for matrix multiplication,Final
467 – Minor API improvements for binary sequences,Minor API improvements for binary sequences,Draft
463 – Exception,Exception-catching expressions,Rejected
460 – Add binary interpolation and formatting,Add binary interpolation and formatting,Withdrawn
457 – Notation For Positional,Notation For Positional-Only Parameters,Final
459 – Standard Metadata Extensions for Python Software Packages,Standard Metadata Extensions for Python Software Packages,Withdrawn
458 – Secure PyPI downloads with signed repository metadata,Secure PyPI downloads with signed repository metadata,Accepted
456 – Secure and interchangeable hash algorithm,Secure and interchangeable hash algorithm,Final
452 – API for Cryptographic Hash Functions v2.0,API for Cryptographic Hash Functions v2.0,Final
454 – Add a new tracemalloc module to trace Python memory allocations,Add a new tracemalloc module to trace Python memory allocations,Final
449 – Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
451 – A ModuleSpec Type for the Import System,A ModuleSpec Type for the Import System,Final
455 – Adding a key,Adding a key-transforming dictionary to collections,Rejected
450 – Adding A Statistics Module To The Standard Library,Adding A Statistics Module To The Standard Library,Final
453 – Explicit bootstrapping of pip in Python installations,Explicit bootstrapping of pip in Python installations,Final
445 – Add new APIs to customize Python memory allocators,Add new APIs to customize Python memory allocators,Final
448 – Additional Unpacking Generalizations,Additional Unpacking Generalizations,Final
447 – Add __getdescriptor__ method to metaclass,Add __getdescriptor__ method to metaclass,Deferred
443 – Single,Single-dispatch generic functions,Final
444 – Python Web3 Interface,Python Web3 Interface,Deferred
446 – Make newly created file descriptors non,Make newly created file descriptors non-inheritable,Final
442 – Safe object finalization,Safe object finalization,Final
441 – Improving Python ZIP Application Support,Improving Python ZIP Application Support,Final
439 – Inclusion of implicit pip bootstrap in Python installation,Inclusion of implicit pip bootstrap in Python installation,Rejected
440 – Version Identification and Dependency Specification,Version Identification and Dependency Specification,Final
438 – Transitioning to release,Transitioning to release-file hosting on PyPI,Superseded
435 – Adding an Enum type to the Python standard library,Adding an Enum type to the Python standard library,Final
433 – Easier suppression of file descriptor inheritance,Easier suppression of file descriptor inheritance,Superseded
436 – The Argument Clinic DSL,The Argument Clinic DSL,Final
"437 – A DSL for specifying signatures, annotations and argument converters","A DSL for specifying signatures, annotations and argument converters",Rejected
430 – Migrating to Python 3 as the default online documentation,Migrating to Python 3 as the default online documentation,Final
431 – Time zone support improvements,Time zone support improvements,Superseded
432 – Restructuring the CPython startup sequence,Restructuring the CPython startup sequence,Withdrawn
427 – The Wheel Binary Package Format 1.0,The Wheel Binary Package Format 1.0,Final
429 – Python 3.4 Release Schedule,Python 3.4 Release Schedule,Final
428 – The pathlib module – object,The pathlib module,Final
434 – IDLE Enhancement Exception for All Branches,IDLE Enhancement Exception for All Branches,Active
425 – Compatibility Tags for Built Distributions,Compatibility Tags for Built Distributions,Final
426 – Metadata for Python Software Packages 2.0,Metadata for Python Software Packages 2.0,Withdrawn
424 – A method for exposing a length hint,A method for exposing a length hint,Final
423 – Naming conventions and recipes related to packaging,Naming conventions and recipes related to packaging,Deferred
420 – Implicit Namespace Packages,Implicit Namespace Packages,Final
419 – Protecting cleanup statements from interruptions,Protecting cleanup statements from interruptions,Deferred
421 – Adding sys.implementation,Adding sys.implementation,Final
417 – Including mock in the Standard Library,Including mock in the Standard Library,Final
"418 – Add monotonic time, performance counter, and process time functions","Add monotonic time, performance counter, and process time functions",Final
422 – Simpler customisation of class creation,Simpler customisation of class creation,Withdrawn
416 – Add a frozendict builtin type,Add a frozendict builtin type,Rejected
415 – Implement context suppression with exception attributes,Implement context suppression with exception attributes,Final
414 – Explicit Unicode Literal for Python 3.3,Explicit Unicode Literal for Python 3.3,Final
412 – Key,Key-Sharing Dictionary,Final
411 – Provisional packages in the Python standard library,Provisional packages in the Python standard library,Superseded
413 – Faster evolution of the Python Standard Library,Faster evolution of the Python Standard Library,Withdrawn
408 – Standard library __preview__ package,Standard library __preview__ package,Rejected
410 – Use decimal.Decimal type for timestamps,Use decimal.Decimal type for timestamps,Rejected
409 – Suppressing exception context,Suppressing exception context,Final
407 – New release cycle and introducing long,New release cycle and introducing long-term support versions,Deferred
406 – Improved Encapsulation of Import State,Improved Encapsulation of Import State,Withdrawn
405 – Python Virtual Environments,Python Virtual Environments,Final
404 – Python 2.8 Un,Python 2.8 Un-release Schedule,Final
400 – Deprecate codecs.StreamReader and codecs.StreamWriter,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
403 – General purpose decorator clause (aka “@in” clause),General purpose decorator clause (aka “@in” clause),Deferred
402 – Simplified Package Layout and Partitioning,Simplified Package Layout and Partitioning,Rejected
399 – Pure Python/C Accelerator Module Compatibility Requirements,Pure Python/C Accelerator Module Compatibility Requirements,Final
398 – Python 3.3 Release Schedule,Python 3.3 Release Schedule,Final
396 – Module Version Numbers,Module Version Numbers,Rejected
397 – Python launcher for Windows,Python launcher for Windows,Final
395 – Qualified Names for Modules,Qualified Names for Modules,Withdrawn
